行政區,路名,巷,弄
三重區,中寮街,８７巷,
三重區,永春街,,
三重區,光明路,７２巷,
三重區,光明路,,
三重區,光明路,８４巷,
三重區,光明路,９６巷,
三重區,光明路,１１０巷,
三重區,三和路四段,３８２巷,
三重區,三和路四段,３８２巷,４０弄
三重區,三和路四段,３８２巷,４６弄
三重區,三和路四段,３８２巷,９２弄
三重區,三和路四段,３８２巷,９４弄
三重區,三和路四段,３８２巷,９６弄
三重區,三和路四段,３９０巷,
三重區,三和路四段,３９６巷,
三重區,三和路四段,４００巷,
三重區,三和路四段,４０６巷,
三重區,永安北路一段,,
三重區,永福街,１０巷,
三重區,永福街,１０巷,３弄
三重區,永福街,１１１巷,
三重區,永福街,１１１巷,４弄
三重區,永福街,１１１巷,５弄
三重區,永福街,１２５巷,
三重區,永福街,１３５巷,
三重區,三和路四段,２１８巷,
三重區,三和路四段,２６４巷,
三重區,三和路四段,２６４巷,２弄
三重區,三和路四段,２６４巷,６弄
三重區,三和路四段,２７４巷,
三重區,三和路四段,２９２巷,
三重區,三和路四段,３００巷,
三重區,車路頭街,１１７巷,
三重區,車路頭街,１３１巷,
三重區,車路頭街,１３９巷,１弄
三重區,車路頭街,１３９巷,
三重區,車路頭街,１４３巷,
三重區,聯華街,,
三重區,力行路一段,１６４巷,
三重區,力行路一段,１７８巷,
三重區,力行路一段,１８８巷,
三重區,大勇街,,
三重區,大勇街,８２巷,
三重區,大勇街,８２巷,１５弄
三重區,大勇街,８２巷,２６弄
三重區,中正北路,１６５巷,
三重區,中正北路,１９１巷,
三重區,中正北路,１９１巷,３弄
三重區,中正北路,１９３巷,
三重區,中正北路,１９３巷,１１弄
三重區,中正北路,１９３巷,２１弄
三重區,中正北路,１９３巷,３５弄
三重區,中正北路,３１５巷,６弄
三重區,中正北路,３１５巷,
三重區,中正北路,３１５巷,１６弄
三重區,中正北路,３１７巷,
三重區,後竹圍街,２７５巷,
三重區,後竹圍街,２７７巷,
三重區,後竹圍街,,
三重區,國道路一段,,
三重區,國道路一段,５８巷,
三重區,國道路一段,７０巷,
三重區,國道路一段,８５巷,
三重區,永安北路一段,１巷,
三重區,永安北路一段,３巷,
三重區,永安北路一段,１１巷,
三重區,永安北路一段,１１巷,１６弄
三重區,永安北路一段,１１巷,１８弄
三重區,永安北路一段,１７巷,
三重區,永安北路一段,２１巷,
三重區,永安北路一段,２７巷,
三重區,永安北路一段,３３巷,
三重區,永安北路一段,３７巷,２弄
三重區,永安北路一段,３７巷,４弄
三重區,永安北路一段,３７巷,６弄
三重區,永福街,１１１巷,３５弄
三重區,永福街,１１１巷,３７弄
三重區,永福街,１１１巷,４０弄
三重區,永福街,１３５巷,３２弄
三重區,永福街,１６１巷,
三重區,永福街,１７１巷,
三重區,永福街,１７７巷,
三重區,永福街,１７７巷,１１弄
三重區,永福街,１７９巷,
三重區,力行路二段,９巷,１弄
三重區,力行路二段,９巷,
三重區,力行路二段,９巷,７弄
三重區,車路頭街,３４巷,
三重區,車路頭街,４４巷,
三重區,車路頭街,６２巷,
三重區,國道路一段,３９巷,
三重區,力行路二段,９１巷,
三重區,力行路二段,１２３巷,
三重區,力行路二段,１３６巷,１弄
三重區,力行路二段,１３６巷,
三重區,力行路二段,１３６巷,１１弄
三重區,力行路二段,１３６巷,１７弄
三重區,力行路二段,１３６巷,２３弄
三重區,力行路二段,１３６巷,２９弄
三重區,力行路二段,１３６巷,３３弄
